Date,ALL,0-11,60+
01-12-2020,988,138,138
02-12-2020,1037,143,145
03-12-2020,1109,147,152
04-12-2020,1161,159,161
05-12-2020,1230,170,171
06-12-2020,1290,178,181
07-12-2020,1337,192,193
08-12-2020,1424,206,204
09-12-2020,1506,216,214
10-12-2020,1546,231,224
11-12-2020,1625,236,234
12-12-2020,1671,240,245
13-12-2020,1714,247,256
14-12-2020,1766,258,269
15-12-2020,1831,283,283
16-12-2020,1992,298,299
17-12-2020,2134,316,319
18-12-2020,2254,341,341
19-12-2020,2390,351,365
20-12-2020,2475,384,391
21-12-2020,2670,412,420
22-12-2020,2890,449,450
23-12-2020,3102,485,482
24-12-2020,3271,515,510
25-12-2020,3442,555,544
26-12-2020,3616,572,578
27-12-2020,3726,582,617
28-12-2020,3788,646,658
29-12-2020,4026,694,702
30-12-2020,4205,754,752
31-12-2020,4466,808,806
01-01-2021,4726,863,859
02-01-2021,5012,916,915
03-01-2021,5234,958,969
04-01-2021,5477,1022,1023
05-01-2021,5891,1083,1077
06-01-2021,6262,1132,1128
07-01-2021,6550,1180,1185
08-01-2021,6806,1242,1243
09-01-2021,7113,1274,1302
10-01-2021,7249,1354,1367
11-01-2021,7496,1432,1436
12-01-2021,7682,1497,1504
13-01-2021,7835,1587,1569
14-01-2021,8061,1664,1618
15-01-2021,8295,1720,1660
16-01-2021,8333,1731,1693
17-01-2021,8322,1694,1709
18-01-2021,8137,1731,1708
19-01-2021,8193,1728,1696
20-01-2021,8098,1696,1671
21-01-2021,7940,1656,1649
22-01-2021,7650,1635,1618
23-01-2021,7501,1560,1586
24-01-2021,7124,1535,1554
25-01-2021,7021,1517,1528
26-01-2021,6820,1502,1499
27-01-2021,6704,1477,1481
28-01-2021,6617,1473,1469
29-01-2021,6606,1429,1458
30-01-2021,6519,1438,1451
31-01-2021,6545,1452,1450
01-02-2021,6588,1439,1453
02-02-2021,6619,1450,1466
03-02-2021,6648,1466,1478
04-02-2021,6607,1499,1486
05-02-2021,6616,1514,1493
06-02-2021,6591,1521,1493
07-02-2021,6595,1507,1484
08-02-2021,6505,1491,1459
09-02-2021,6351,1449,1424
10-02-2021,6087,1405,1384
11-02-2021,5832,1323,1341
12-02-2021,5521,1268,1287
13-02-2021,5246,1241,1229
14-02-2021,5136,1207,1169
15-02-2021,4977,1118,1112
16-02-2021,4597,1044,1060
17-02-2021,4370,982,1009
18-02-2021,4155,925,962
19-02-2021,3906,900,928
20-02-2021,3780,884,907
21-02-2021,3689,883,897
22-02-2021,3635,879,901
23-02-2021,3580,896,910
24-02-2021,3560,916,922
25-02-2021,3589,951,937
26-02-2021,3658,960,958
27-02-2021,3662,968,980
28-02-2021,3689,992,1007
01-03-2021,3677,1026,1030
02-03-2021,3683,1050,1058
03-03-2021,3678,1102,1089
04-03-2021,3720,1115,1114
05-03-2021,3697,1154,1129
06-03-2021,3679,1185,1133
07-03-2021,3736,1163,1120
08-03-2021,3641,1130,1099
09-03-2021,3490,1081,1062
10-03-2021,3308,1008,1013
11-03-2021,3047,970,962
12-03-2021,2889,893,903
13-03-2021,2706,841,840
14-03-2021,2555,804,778
15-03-2021,2422,718,709
16-03-2021,2184,643,644
17-03-2021,1960,572,582
18-03-2021,1775,494,520
19-03-2021,1590,433,462
20-03-2021,1401,409,410
21-03-2021,1338,371,360
22-03-2021,1230,314,320
23-03-2021,1068,274,284
24-03-2021,944,228,250
25-03-2021,792,210,220
26-03-2021,741,180,194
27-03-2021,664,178,172
28-03-2021,649,158,157
29-03-2021,570,134,142
30-03-2021,485,123,130
31-03-2021,451,125,118
01-04-2021,454,105,109
02-04-2021,372,98,103
03-04-2021,354,92,98
04-04-2021,337,93,92
05-04-2021,346,93,87
06-04-2021,345,86,81
07-04-2021,323,76,77
