Date,Alpha,Delta,BA.1,BA.2
28/08/2020,0,0,0,0
04/09/2020,0,0,0,0
11/09/2020,0,0,0,0
18/09/2020,0,0,0,0
25/09/2020,0,0,0,0
02/10/2020,0,0,0,0
09/10/2020,0,0,0,0
16/10/2020,0,0,0,0
23/10/2020,0,0,0,0
30/10/2020,0,0,0,0
06/11/2020,0,0,0,0
13/11/2020,0,0,0,0
20/11/2020,0,0,0,0
27/11/2020,0,0,0,0
04/12/2020,0,0,0,0
11/12/2020,0,0,0,0
18/12/2020,0,0,0,0
25/12/2020,0,0,0,0
01/01/2021,0.090909091,0,0,0
08/01/2021,0.175,0,0,0
15/01/2021,0.226027397,0,0,0
22/01/2021,0.273350471,0,0,0
29/01/2021,0.330708661,0.000605694,0,0
05/02/2021,0.404068169,0.001649258,0,0
12/02/2021,0.505759737,0.002742732,0,0
19/02/2021,0.60908637,0.002995507,0,0
26/02/2021,0.683185841,0.002212389,0,0
05/03/2021,0.741087344,0.001336898,0,0
12/03/2021,0.806710065,0.000500751,0,0
19/03/2021,0.876668446,0,0,0
26/03/2021,0.916666667,0,0,0
02/04/2021,0.935965848,0,0,0
09/04/2021,0.955063291,0,0,0
16/04/2021,0.974117647,0,0,0
23/04/2021,0.979699912,0.004413063,0,0
30/04/2021,0.966764418,0.014662757,0,0
07/05/2021,0.948630137,0.025114155,0,0
14/05/2021,0.927325581,0.036337209,0,0
21/05/2021,0.895910781,0.048327138,0,0
28/05/2021,0.841121495,0.070093458,0,0
04/06/2021,0.783783784,0.087087087,0,0
11/06/2021,0.759689922,0.093023256,0,0
18/06/2021,0.747474747,0.111111111,0,0
25/06/2021,0.628930818,0.245283019,0,0
02/07/2021,0.279569892,0.634408602,0,0
09/07/2021,0.060827251,0.907542579,0,0
16/07/2021,0.022678186,0.96112311,0,0
23/07/2021,0.020215633,0.966307278,0,0
30/07/2021,0.021380574,0.963958461,0,0
06/08/2021,0.021212121,0.963636364,0,0
13/08/2021,0.01378579,0.971367975,0,0
20/08/2021,0.003115265,0.990654206,0,0
27/08/2021,0.000749064,0.988764045,0,0
03/09/2021,0.001179941,1.02359882,0,0
10/09/2021,0.001057082,1.015856237,0,0
17/09/2021,0.00049334,1.015293537,0,0
24/09/2021,0,0.985254692,0,0
01/10/2021,0,0.986568987,0,0
08/10/2021,0,0.988645921,0,0
15/10/2021,0,0.993865031,0,0
22/10/2021,0,1.002031144,0,0
29/10/2021,0,1.007036747,0,0
05/11/2021,0,1.002183406,0,0
12/11/2021,0,0.995929444,0,0
19/11/2021,0,0.993818681,0,0
26/11/2021,0,0.996584699,0,0
03/12/2021,0,0.998793727,0,0
10/12/2021,0,0.997546614,0,0
17/12/2021,0,0.990086741,0.003610108,0
24/12/2021,0.000372995,0.968668407,0.015435502,0
31/12/2021,0.000357526,0.909903468,0.055974166,0
07/01/2022,0.000350631,0.783660589,0.17709438,0
14/01/2022,0,0.584763212,0.394600208,0
21/01/2022,0,0.360602094,0.652261307,0.001005025
28/01/2022,0,0.182544561,0.834406624,0.005519779
04/02/2022,0,0.078504139,0.917383821,0.018072289
11/02/2022,0,0.028357824,0.935044106,0.044105854
18/02/2022,0,0.008916324,0.919453925,0.07440273
25/02/2022,0,0.002969247,0.8986731,0.098914355
04/03/2022,0,0.001021033,0.853812224,0.145557656
11/03/2022,0,0.000195313,0.777777778,0.222222222
18/03/2022,0,0,0.693986163,0.306013837
25/03/2022,0,0,0.590138675,0.409861325
01/04/2022,0,0,0.443287671,0.556712329
08/04/2022,0,0.00016292,0.258914729,0.741085271
15/04/2022,0,0.000306044,0.142675159,0.856900212
22/04/2022,0,0.00043554,0.090703971,0.908844765
