VaccinationDate,age_group,first_dose,second_dose,third_dose,fourth_dose
20/12/2020,0-19,21,0,0,0
20/12/2020,20-29,392,0,0,0
20/12/2020,30-39,1201,0,0,0
20/12/2020,40-49,1871,0,0,0
20/12/2020,50-59,1791,0,0,0
20/12/2020,60-69,1517,0,0,0
20/12/2020,70-79,497,0,0,0
20/12/2020,80-89,94,0,0,0
20/12/2020,90+,5,0,0,0
21/12/2020,0-19,68,0,0,0
21/12/2020,20-29,1071,0,0,0
21/12/2020,30-39,2789,0,0,0
21/12/2020,40-49,3792,0,0,0
21/12/2020,50-59,3693,0,0,0
21/12/2020,60-69,7289,0,0,0
21/12/2020,70-79,4887,0,0,0
21/12/2020,80-89,1165,0,0,0
21/12/2020,90+,167,0,0,0
22/12/2020,0-19,97,0,0,0
22/12/2020,20-29,1573,0,0,0
22/12/2020,30-39,3610,0,0,0
22/12/2020,40-49,4551,0,0,0
22/12/2020,50-59,4667,0,0,0
22/12/2020,60-69,14441,0,0,0
22/12/2020,70-79,11764,0,0,0
22/12/2020,80-89,3498,0,0,0
22/12/2020,90+,456,0,0,0
23/12/2020,0-19,153,0,0,0
23/12/2020,20-29,2126,0,0,0
23/12/2020,30-39,3882,0,0,0
23/12/2020,40-49,5055,0,0,0
23/12/2020,50-59,5343,0,0,0
23/12/2020,60-69,21620,0,0,0
23/12/2020,70-79,18019,0,0,0
23/12/2020,80-89,5679,0,0,0
23/12/2020,90+,1025,0,0,0
24/12/2020,0-19,199,0,0,0
24/12/2020,20-29,2071,0,0,0
24/12/2020,30-39,3802,0,0,0
24/12/2020,40-49,5227,0,0,0
24/12/2020,50-59,5675,0,0,0
24/12/2020,60-69,25653,0,0,0
24/12/2020,70-79,21765,0,0,0
24/12/2020,80-89,7679,0,0,0
24/12/2020,90+,1349,0,0,0
25/12/2020,0-19,125,0,0,0
25/12/2020,20-29,753,0,0,0
25/12/2020,30-39,1409,0,0,0
25/12/2020,40-49,2263,0,0,0
25/12/2020,50-59,2979,0,0,0
25/12/2020,60-69,13408,0,0,0
25/12/2020,70-79,12284,0,0,0
25/12/2020,80-89,4525,0,0,0
25/12/2020,90+,764,0,0,0
26/12/2020,0-19,93,0,0,0
26/12/2020,20-29,487,0,0,0
26/12/2020,30-39,983,0,0,0
26/12/2020,40-49,1695,0,0,0
26/12/2020,50-59,2407,0,0,0
26/12/2020,60-69,11904,0,0,0
26/12/2020,70-79,10605,0,0,0
26/12/2020,80-89,3751,0,0,0
26/12/2020,90+,690,0,0,0
27/12/2020,0-19,462,0,0,0
27/12/2020,20-29,3599,0,0,0
27/12/2020,30-39,6142,0,0,0
27/12/2020,40-49,8522,0,0,0
27/12/2020,50-59,10071,0,0,0
27/12/2020,60-69,32950,0,0,0
27/12/2020,70-79,28546,0,0,0
27/12/2020,80-89,11873,0,0,0
27/12/2020,90+,2390,0,0,0
